episode,total_reward,steps,max_wp_reached,wp_total,end_reason,end_x,end_y,wall_time_s
1,-9523.718,8000,1,7,timeout,2.742,0.048,45.2
2,-23089.955,8000,0,7,timeout,0.254,0.165,89.8
3,-1653.017,8000,0,7,timeout,0.625,-0.058,134.7
4,-8883.764,8000,0,7,timeout,1.304,0.469,184.1
5,591.049,8000,0,7,timeout,0.16,-0.046,234.0
6,-1343.577,41,0,7,collision,-1.253,0.892,234.5
7,-10108.593,6384,0,7,collision,1.249,0.874,274.0
8,-608.954,3575,0,7,timeout,0.5,0.039,294.1
9,631.879,8000,0,7,timeout,0.071,0.016,325.6
10,-1077.795,41,0,7,collision,3.504,1.949,325.9
